Participant,List,Trial,Condition,Event Category,Event Type,Layer,Hotspot,Trial Start,Elapsed,X,Y,Browser,Version,OS,image-left,image-right,audio
115,1_1,flower,1_1DisfluentR,mouse,click,fixation,,1551154656592,0,518,369,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
115,1_1,flower,1_1DisfluentR,layer,show,image-left,,1551154656592,21.000000000640284,,,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
115,1_1,flower,1_1DisfluentR,layer,show,image-right,,1551154656592,21.000000000640284,,,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
115,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551154656592,272.000000000844,523,369,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
115,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551154656592,288.00000000046566,524,369,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
115,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551154656592,304.0000000000873,526,369,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
115,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551154656592,336.0000000011496,527,369,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
115,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551154656592,352.00000000077125,530,369,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
115,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551154656592,368.0000000003929,533,369,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
115,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551154656592,391.00000000144064,535,369,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
115,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551154656592,400.0000000014552,536,369,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
115,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551154656592,408.000000001266,539,371,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
