Participant,List,Trial,Condition,Event Category,Event Type,Layer,Hotspot,Trial Start,Elapsed,X,Y,Browser,Version,OS,image-left,image-right,audio
124,1_1,flower,1_1DisfluentR,mouse,click,fixation,,1551520407683,0,486,358,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
124,1_1,flower,1_1DisfluentR,layer,show,image-left,,1551520407683,18.000000000029104,,,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
124,1_1,flower,1_1DisfluentR,layer,show,image-right,,1551520407683,19.00000000023283,,,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
124,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551520407683,584.0000000007567,488,361,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
124,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551520407683,592.000000000553,494,366,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
124,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551520407683,608.0000000001746,523,413,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
124,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551520407683,624.0000000006985,560,460,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
124,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551520407683,648.0000000001455,596,496,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
124,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551520407683,664.0000000006694,616,506,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
124,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551520407683,680.000000000291,620,508,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
124,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551520407683,760.0000000002328,616,508,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
124,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551520407683,768.0000000000291,607,500,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
124,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551520407683,784.000000000553,568,472,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
124,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551520407683,808,484,429,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
124,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551520407683,824.0000000005239,442,420,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
124,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551520407683,847.9999999999418,388,413,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
