Participant,List,Trial,Condition,Event Category,Event Type,Layer,Hotspot,Trial Start,Elapsed,X,Y,image-left,image-right,audio
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5490.900000004331,685,394,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5498.9000000059605,686,394,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5668.000000005122,686,395,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5678.8999999989755,685,395,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5683.900000003632,684,396,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5700.0000000116415,682,397,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5724.000000001979,680,397,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5741.900000008172,676,397,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5756.90000000759,670,397,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5773.90000000014,665,398,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5786.900000006426,664,399,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5841.899999999441,665,399,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5857.900000002701,679,400,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5874.900000009802,702,401,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5891.00000000326,725,402,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5908.000000010361,750,403,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5921.900000001187,772,403,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1543579774806,5938.900000008289,794,403,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,image-right,,1543579774806,5957.900000008522,811,402,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,image-right,,1543579774806,5973.8000000070315,820,399,d43.png,t_flower.png,e_flower_d.wav
1,1_1,flower,1_1DisfluentR,mouse,move,image-right,,1543579774806,5988.900000011199
16,4_4,watch,4_4FluentL,stage,end,,,75795.89999996824,0,,,t_watch.png,d35.png,e_watch_f.wav
16,4_4,rooster,4_4FillerL,layer,playbackend,audio,,1543599681677.8,0,,,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,click,fixation,,1543599681677.8,2219.2999999970198,525,360,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,click,fixation,,1543599681677.8,2219.2999999970198,525,360,fr_rooster.png,d44.png,f_rooster_.wav
