Participant,List,Trial,Condition,Event Category,Event Type,Layer,Hotspot,Trial Start,Elapsed,X,Y,Browser,Version,OS,image-left,image-right,audio
63,1_1,flower,1_1DisfluentR,mouse,click,fixation,,1550221306735,0,502,363,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,layer,show,image-left,,1550221306735,9.99999999839929,,,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,layer,show,image-right,,1550221306735,9.99999999839929,,,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,573.0000000003201,499,364,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,604.9999999995634,480,386,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,620.9999999991851,476,413,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,636.9999999988067,481,437,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,652.9999999984284,529,451,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,668.99999999805,629,453,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,685.0000000013097,756,453,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,701.0000000009313,835,443,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,image-right,,1550221306735,717.000000000553,867,420,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,image-right,,1550221306735,733.0000000001746,873,395,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,image-right,,1550221306735,756.9999999977881,841,309,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,773.0000000010477,764,235,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,789.0000000006694,668,201,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,805.000000000291,565,197,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,820.9999999999127,493,197,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,836.9999999995343,426,217,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,852.999999999156,386,246,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,868.9999999987776,375,277,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,884.9999999983993,374,301,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
63,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1550221306735,900.9999999980209,375,323,chrome,72.0.3626,Windows 7,d43.png,t_flower.png,e_flower_d.wav
