Participant,List,Trial,Condition,Event Category,Event Type,Layer,Hotspot,Trial Start,Elapsed,X,Y,Browser,Version,OS,image-left,image-right,audio
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1693.080000000009,580,357,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1707.9549999999654,577,357,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1723.4449999999706,574,357,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1737.0449999999619,571,357,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1759.1749999999083,563,357,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1773.3399999999601,558,357,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1788.7249999999985,555,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1810.7549999999683,550,355,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1817.9649999999529,548,355,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1846.9199999999546,542,355,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1854.659999999967,540,354,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1876.7849999999235,534,351,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1891.1899999999368,531,351,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1905.7500000000073,527,351,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1927.8550000000178,522,350,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1942.4749999999403,520,350,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1957.1300000000047,518,350,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1972.0949999999648,517,350,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,1986.4599999999627,515,348,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
