Participant,Question,Answers...
78,Was any language besides English spoken in your home before the age of 6?,Yes
79,Was any language besides English spoken in your home before the age of 6?,Yes
80,Was any language besides English spoken in your home before the age of 6?,No
81,Was any language besides English spoken in your home before the age of 6?,Yes
82,Was any language besides English spoken in your home before the age of 6?,Yes
85,Was any language besides English spoken in your home before the age of 6?,No
84,Was any language besides English spoken in your home before the age of 6?,No
86,Was any language besides English spoken in your home before the age of 6?,No
87,Was any language besides English spoken in your home before the age of 6?,Yes
