Participant,Question,Answers...
23,Was any language besides English spoken in your home before the age of 6?,No
24,Was any language besides English spoken in your home before the age of 6?,Yes
25,Was any language besides English spoken in your home before the age of 6?,No
26,Was any language besides English spoken in your home before the age of 6?,No
27,Was any language besides English spoken in your home before the age of 6?,Yes
28,Was any language besides English spoken in your home before the age of 6?,No
29,Was any language besides English spoken in your home before the age of 6?,No
30,Was any language besides English spoken in your home before the age of 6?,Yes
32,Was any language besides English spoken in your home before the age of 6?,No
33,Was any language besides English spoken in your home before the age of 6?,No
34,Was any language besides English spoken in your home before the age of 6?,No
35,Was any language besides English spoken in your home before the age of 6?,No
36,Was any language besides English spoken in your home before the age of 6?,No
37,Was any language besides English spoken in your home before the age of 6?,No
38,Was any language besides English spoken in your home before the age of 6?,No
39,Was any language besides English spoken in your home before the age of 6?,Yes
40,Was any language besides English spoken in your home before the age of 6?,No
41,Was any language besides English spoken in your home before the age of 6?,No
42,Was any language besides English spoken in your home before the age of 6?,Yes
43,Was any language besides English spoken in your home before the age of 6?,No
44,Was any language besides English spoken in your home before the age of 6?,Yes
