Participant,Question,Answers...
45,Was any language besides English spoken in your home before the age of 6?,No
46,Was any language besides English spoken in your home before the age of 6?,No
47,Was any language besides English spoken in your home before the age of 6?,No
48,Was any language besides English spoken in your home before the age of 6?,No
50,Was any language besides English spoken in your home before the age of 6?,No
51,Was any language besides English spoken in your home before the age of 6?,Yes
52,Was any language besides English spoken in your home before the age of 6?,No
53,Was any language besides English spoken in your home before the age of 6?,No
54,Was any language besides English spoken in your home before the age of 6?,No
55,Was any language besides English spoken in your home before the age of 6?,No
56,Was any language besides English spoken in your home before the age of 6?,No
57,Was any language besides English spoken in your home before the age of 6?,No
58,Was any language besides English spoken in your home before the age of 6?,No
59,Was any language besides English spoken in your home before the age of 6?,No
60,Was any language besides English spoken in your home before the age of 6?,No
61,Was any language besides English spoken in your home before the age of 6?,Yes
62,Was any language besides English spoken in your home before the age of 6?,No
