Participant,Question,Answers...
1,Was any language besides English spoken in your home before the age of 6?,No
2,Was any language besides English spoken in your home before the age of 6?,Yes
3,Was any language besides English spoken in your home before the age of 6?,Yes
3,Was any language besides English spoken in your home before the age of 6?,Yes
4,Was any language besides English spoken in your home before the age of 6?,No
5,Was any language besides English spoken in your home before the age of 6?,Yes
6,Was any language besides English spoken in your home before the age of 6?,No
7,Was any language besides English spoken in your home before the age of 6?,No
8,Was any language besides English spoken in your home before the age of 6?,Yes
9,Was any language besides English spoken in your home before the age of 6?,No
9,Was any language besides English spoken in your home before the age of 6?,No
10,Was any language besides English spoken in your home before the age of 6?,No
11,Was any language besides English spoken in your home before the age of 6?,No
12,Was any language besides English spoken in your home before the age of 6?,No
13,Was any language besides English spoken in your home before the age of 6?,No
14,Was any language besides English spoken in your home before the age of 6?,No
16,Was any language besides English spoken in your home before the age of 6?,No
17,Was any language besides English spoken in your home before the age of 6?,No
18,Was any language besides English spoken in your home before the age of 6?,No
19,Was any language besides English spoken in your home before the age of 6?,No
20,Was any language besides English spoken in your home before the age of 6?,No
21,Was any language besides English spoken in your home before the age of 6?,No
22,Was any language besides English spoken in your home before the age of 6?,No
