Participant,Question,Answers...
63,Was any language besides English spoken in your home before the age of 6?,Yes
64,Was any language besides English spoken in your home before the age of 6?,Yes
66,Was any language besides English spoken in your home before the age of 6?,Yes
67,Was any language besides English spoken in your home before the age of 6?,Yes
68,Was any language besides English spoken in your home before the age of 6?,Yes
70,Was any language besides English spoken in your home before the age of 6?,Yes
71,Was any language besides English spoken in your home before the age of 6?,Yes
73,Was any language besides English spoken in your home before the age of 6?,Yes
74,Was any language besides English spoken in your home before the age of 6?,Yes
75,Was any language besides English spoken in your home before the age of 6?,Yes
77,Was any language besides English spoken in your home before the age of 6?,Yes
76,Was any language besides English spoken in your home before the age of 6?,Yes
