Participant,Question,Answers...
104,Please enter your MTurk Worker ID,A30UK9O0T10WQR
104,Was any language besides English spoken in your home before the age of 6?,No
105,Please enter your MTurk Worker ID,A3EN925F3RNQWT
105,Was any language besides English spoken in your home before the age of 6?,Yes
106,Please enter your MTurk Worker ID,A5D5TMT8O7KWS
106,Was any language besides English spoken in your home before the age of 6?,Yes
107,Please enter your MTurk Worker ID,A6QQ0I9NEP8ZD
107,Was any language besides English spoken in your home before the age of 6?,Yes
108,Please enter your MTurk Worker ID,AMQOY20HZIZCE
108,Was any language besides English spoken in your home before the age of 6?,No
109,Please enter your MTurk Worker ID,A1X8UBJ3IA1T1
109,Was any language besides English spoken in your home before the age of 6?,No
110,Please enter your MTurk Worker ID,A1VNV1899K7L05
110,Was any language besides English spoken in your home before the age of 6?,No
