Participant,Question,Answers...
115,Please enter your MTurk Worker ID,A317ODK9TPFT24
115,Was any language besides English spoken in your home before the age of 6?,Yes
116,Please enter your MTurk Worker ID,A1Q0Q8FU9XCXYU
116,Was any language besides English spoken in your home before the age of 6?,No
117,Please enter your MTurk Worker ID,A25O4KQQFM5CSR
117,Was any language besides English spoken in your home before the age of 6?,No
118,Please enter your MTurk Worker ID,AAZHBOPJHKPE5
118,Was any language besides English spoken in your home before the age of 6?,No
119,Please enter your MTurk Worker ID,A2TF3ITVS2XXFV
119,Was any language besides English spoken in your home before the age of 6?,Yes
120,Please enter your MTurk Worker ID,A1LBQT5SJI6F3R
120,Was any language besides English spoken in your home before the age of 6?,No
121,Please enter your MTurk Worker ID,A27OP8C3IRZPH0
121,Was any language besides English spoken in your home before the age of 6?,No
122,Please enter your MTurk Worker ID,A150BOXII7BKNP
122,Was any language besides English spoken in your home before the age of 6?,No
123,Please enter your MTurk Worker ID,A388BTZAXQ48O3
123,Was any language besides English spoken in your home before the age of 6?,No
