Participant,Question,Answers...
88,Please enter your MTurk Worker ID,A6QQ0I9NEP8ZD
88,Was any language besides English spoken in your home before the age of 6?,Yes
89,Please enter your MTurk Worker ID,A6QQ0I9NEP8ZD
89,Was any language besides English spoken in your home before the age of 6?,Yes
90,Please enter your MTurk Worker ID,A6QQ0I9NEP8ZD
90,Was any language besides English spoken in your home before the age of 6?,Yes
88,Please enter your MTurk Worker ID,A6QQ0I9NEP8ZD
88,Was any language besides English spoken in your home before the age of 6?,Yes
91,Please enter your MTurk Worker ID,A5D5TMT8O7KWS
91,Was any language besides English spoken in your home before the age of 6?,Yes
92,Please enter your MTurk Worker ID,A1YQYW5IXWXS4F
92,Was any language besides English spoken in your home before the age of 6?,Yes
93,Please enter your MTurk Worker ID,A1YQYW5IXWXS4F
93,Was any language besides English spoken in your home before the age of 6?,Yes
94,Please enter your MTurk Worker ID,A3T4SWIVIT1M8T
94,Was any language besides English spoken in your home before the age of 6?,Yes
95,Please enter your MTurk Worker ID,ASMSCHRHB9FML
95,Was any language besides English spoken in your home before the age of 6?,No
97,Please enter your MTurk Worker ID,A30NENM4O6GCGA
97,Was any language besides English spoken in your home before the age of 6?,No
98,Please enter your MTurk Worker ID,A1PZUU7P95BF6Z
98,Was any language besides English spoken in your home before the age of 6?,Yes
99,Please enter your MTurk Worker ID,A1LBQT5SJI6F3R
99,Was any language besides English spoken in your home before the age of 6?,No
100,Please enter your MTurk Worker ID,A1LBQT5SJI6F3R
100,Was any language besides English spoken in your home before the age of 6?,No
101,Please enter your MTurk Worker ID,A1LBQT5SJI6F3R
101,Was any language besides English spoken in your home before the age of 6?,No
102,Please enter your MTurk Worker ID,AP8E6HNG1MQW3
102,Was any language besides English spoken in your home before the age of 6?,No
102,Please enter your MTurk Worker ID,AP8E6HNG1MQW3
102,Was any language besides English spoken in your home before the age of 6?,No
103,Please enter your MTurk Worker ID,A2LM86NOH6NLV
103,Was any language besides English spoken in your home before the age of 6?,No
